year,2010,2011,2012,2013,2014,2015,2016,2017,2018
pop_total,413462,419250,425931,432589,440641,448901,456378,463855,471332
pop_male,205715,208201,211553,214376,217938,221101,225203,229305,233407
pop_female,207747,211049,214378,218213,222703,227800,231175,234550,237925
pop_under_5,26619,26903,26713,27123,27976,27401,27107,26813,26519
pop_5_9,22606,22296,22332,22114,22336,22764,23905,25046,26187
pop_10_14,19818,20093,20451,21122,21576,22637,23094,23551,24008
pop_15_19,30806,30602,29980,29556,29071,28852,29308,29764,30220
pop_20_24,41124,42382,44089,45196,46287,46580,45455,44330,43205
pop_25_34,77791,81418,83167,84742,86918,89679,92214,94749,97284
pop_35_44,62812,62973,63618,64516,64608,65204,65687,66170,66653
pop_45_54,52482,52340,52900,53975,54205,54987,55806,56625,57444
pop_55_59,22436,22045,22020,21351,22470,22939,23747,24555,25363
pop_60_64,16779,17429,18810,19808,20505,20914,20592,20270,19948
pop_65_74,22092,22531,23498,24426,25841,27276,29442,31608,33774
pop_75_84,12431,12251,12350,12742,12839,13801,14267,14733,15199
pop_over_84,5666,5987,6003,5918,6009,5867,5754,5641,5528
inc_lesser_10,23678,24674,24564,24750,24354,23791,22232,20673,19114
inc_10_15,12421,11980,12188,12114,11928,11724,12267,12810,13353
inc_15_25,18772,18747,19410,19779,19963,20668,21054,21440,21826
inc_25_35,18419,17655,17754,17336,18022,17491,17307,17123,16939
inc_35_50,21725,21321,19900,19688,21137,22312,22571,22830,23089
inc_50_75,26366,26396,27102,26581,26750,27623,28752,29881,31010
inc_75_100,16067,16199,15527,16419,16731,17306,17261,17216,17171
inc_100_150,18490,19106,19099,19180,18842,19560,20787,22014,23241
inc_150_200,8005,8267,8380,8275,8788,9074,9722,10370,11018
inc_greater_200,14504,14744,15080,15337,15166,16271,17390,18509,19628
inc_median,45171,45946,46146,46631,46439,47527,49398,51269,53140
inc_mean,79299,80685,81292,82381,82029,84886,87784,90682,93580
